p_noshow,p_denial,appointment_value,noshow_loss,denial_loss,total_expected_loss,risk_score,risk_tier
0.6044,0.277,2223.58,1343.88,243.7,1587.58,71.4,HIGH
0.4318,0.277,2223.58,960.24,349.98,1310.21,58.9,MODERATE
0.4359,0.277,2223.58,969.26,347.48,1316.73,59.2,MODERATE
0.5417,0.277,2223.58,1204.41,282.34,1486.74,66.9,HIGH
0.5428,0.277,2223.58,1206.95,281.63,1488.58,66.9,HIGH
0.4542,0.277,2223.58,1009.97,336.2,1346.17,60.5,MODERATE
0.4833,0.277,2223.58,1074.74,318.26,1393.0,62.6,MODERATE
0.4466,0.277,2223.58,992.96,340.91,1333.88,60.0,MODERATE
0.4664,0.277,2223.58,1037.14,328.67,1365.81,61.4,MODERATE
0.4612,0.277,2223.58,1025.47,331.91,1357.38,61.0,MODERATE
0.2431,0.277,2223.58,540.48,466.26,1006.74,45.3,LOW
0.5896,0.277,2223.58,1310.98,252.81,1563.79,70.3,HIGH
0.6814,0.277,2223.58,1515.22,196.23,1711.45,77.0,CRITICAL
0.5685,0.277,2223.58,1264.1,265.8,1529.9,68.8,HIGH
0.3442,0.277,2223.58,765.33,403.97,1169.3,52.6,LOW
0.4181,0.277,2223.58,929.67,358.45,1288.11,57.9,MODERATE
0.5084,0.277,2223.58,1130.51,302.81,1433.32,64.5,MODERATE
0.5517,0.277,2223.58,1226.69,276.16,1502.85,67.6,HIGH
0.5257,0.277,2223.58,1168.95,292.16,1461.11,65.7,HIGH
0.5519,0.277,2223.58,1227.26,276.0,1503.27,67.6,HIGH
0.4782,0.277,2223.58,1063.42,321.39,1384.81,62.3,MODERATE
0.6703,0.277,2223.58,1490.42,203.1,1693.52,76.2,CRITICAL
0.5851,0.277,2223.58,1300.92,255.6,1556.52,70.0,HIGH
0.4007,0.277,2223.58,891.07,369.14,1260.21,56.7,MODERATE
0.5023,0.277,2223.58,1116.83,306.6,1423.43,64.0,MODERATE
0.4366,0.277,2223.58,970.8,347.05,1317.85,59.3,MODERATE
0.5989,0.277,2223.58,1331.7,247.07,1578.78,71.0,HIGH
0.2671,0.277,2223.58,593.91,451.46,1045.37,47.0,LOW
0.3687,0.277,2223.58,819.77,388.89,1208.66,54.4,LOW
0.4877,0.277,2223.58,1084.49,315.56,1400.04,63.0,MODERATE
0.3888,0.277,2223.58,864.44,376.51,1240.96,55.8,MODERATE
0.55,0.277,2223.58,1223.05,277.17,1500.22,67.5,HIGH
0.442,0.277,2223.58,982.78,343.73,1326.51,59.7,MODERATE
0.5385,0.277,2223.58,1197.49,284.25,1481.74,66.6,HIGH
0.6138,0.277,2223.58,1364.73,237.92,1602.65,72.1,CRITICAL
0.5971,0.277,2223.58,1327.68,248.19,1575.87,70.9,HIGH
0.6415,0.277,2223.58,1426.47,220.82,1647.29,74.1,CRITICAL
0.4944,0.277,2223.58,1099.36,311.44,1410.8,63.4,MODERATE
0.3182,0.277,2223.58,707.53,419.98,1127.51,50.7,LOW
0.5563,0.277,2223.58,1236.97,273.32,1510.28,67.9,HIGH
0.6973,0.277,2223.58,1550.53,186.45,1736.98,78.1,CRITICAL
0.4401,0.277,2223.58,978.7,344.86,1323.57,59.5,MODERATE
0.3835,0.277,2223.58,852.83,379.73,1232.56,55.4,MODERATE
0.6208,0.277,2223.58,1380.38,233.59,1613.97,72.6,CRITICAL
0.3115,0.277,2223.58,692.64,424.11,1116.75,50.2,LOW
0.3935,0.277,2223.58,874.99,373.59,1248.59,56.2,MODERATE
0.4025,0.277,2223.58,894.97,368.06,1263.03,56.8,MODERATE
0.5192,0.277,2223.58,1154.55,296.15,1450.69,65.2,HIGH
0.4855,0.277,2223.58,1079.46,316.95,1396.41,62.8,MODERATE
0.3958,0.277,2223.58,880.11,372.17,1252.29,56.3,MODERATE
0.4469,0.277,2223.58,993.68,340.71,1334.39,60.0,MODERATE
0.5063,0.277,2223.58,1125.82,304.11,1429.93,64.3,MODERATE
0.3679,0.277,2223.58,817.96,389.39,1207.35,54.3,LOW
0.5653,0.277,2223.58,1256.99,267.77,1524.76,68.6,HIGH
0.4123,0.277,2223.58,916.83,362.0,1278.83,57.5,MODERATE
0.2854,0.277,2223.58,634.65,440.17,1074.82,48.3,LOW
0.5687,0.277,2223.58,1264.64,265.65,1530.29,68.8,HIGH
0.6101,0.277,2223.58,1356.6,240.17,1596.78,71.8,HIGH
0.5461,0.277,2223.58,1214.25,279.61,1493.86,67.2,HIGH
0.5656,0.277,2223.58,1257.57,267.61,1525.18,68.6,HIGH
0.5768,0.277,2223.58,1282.57,260.68,1543.25,69.4,HIGH
0.3895,0.277,2223.58,866.15,376.04,1242.19,55.9,MODERATE
0.4588,0.277,2223.58,1020.1,333.39,1353.5,60.9,MODERATE
0.4118,0.277,2223.58,915.62,362.34,1277.96,57.5,MODERATE
0.4717,0.277,2223.58,1048.92,325.41,1374.33,61.8,MODERATE
0.3205,0.277,2223.58,712.72,418.55,1131.26,50.9,LOW
0.6039,0.277,2223.58,1342.72,244.02,1586.74,71.4,HIGH
0.5454,0.277,2223.58,1212.74,280.03,1492.76,67.1,HIGH
0.5423,0.277,2223.58,1205.95,281.91,1487.86,66.9,HIGH
0.4459,0.277,2223.58,991.39,341.35,1332.74,59.9,MODERATE
0.5847,0.277,2223.58,1300.11,255.82,1555.94,70.0,HIGH
0.6031,0.277,2223.58,1340.97,244.51,1585.47,71.3,HIGH
0.4078,0.277,2223.58,906.68,364.81,1271.49,57.2,MODERATE
0.6115,0.277,2223.58,1359.73,239.31,1599.04,71.9,HIGH
0.4262,0.277,2223.58,947.58,353.48,1301.07,58.5,MODERATE
0.3922,0.277,2223.58,872.08,374.4,1246.48,56.1,MODERATE
0.4604,0.277,2223.58,1023.63,332.41,1356.05,61.0,MODERATE
